Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1628,tt1155076,2026-09-06,2026-09-06,,"The Karate Kid - La leggenda continua","The Karate Kid",https://www.imdb.com/title/tt1155076/,Film,6.3,140,2010,"Azione, Drammatico, Per famiglie, Sportivo",230104,2010-08-20,"Harald Zwart",,
1629,tt0974015,2026-09-06,2026-09-06,,"Justice League","Justice League",https://www.imdb.com/title/tt0974015/,Film,6.0,120,2017,"Fantascienza",509845,2017-11-16,"Zack Snyder",,
1630,tt14998742,2026-09-06,2026-09-06,,"Rebel Moon - Parte 1: figlia del fuoco","Rebel Moon - Part One: A Child of Fire",https://www.imdb.com/title/tt14998742/,Film,5.6,133,2023,"Azione, Avventura, Drammatico, Fantastico, Fantascienza",142392,2023-12-22,"Zack Snyder",,
1631,tt23137904,2026-09-06,2026-09-06,,"Rebel Moon - Parte 2: la sfregiatrice","Rebel Moon - Part Two: The Scargiver",https://www.imdb.com/title/tt23137904/,Film,5.4,122,2024,"Azione, Avventura, Drammatico, Fantastico, Fantascienza",64993,2024-04-19,"Zack Snyder",,
1632,tt12361974,2026-09-06,2026-09-06,,"Zack Snyder's Justice League","Zack Snyder's Justice League",https://www.imdb.com/title/tt12361974/,Film,7.9,242,2021,"Avventura, Fantastico, Fantascienza",480060,2021-03-18,"Zack Snyder",,
1633,tt3691740,2026-09-06,2026-09-06,,"Il GGG - Il grande gigante gentile","The BFG",https://www.imdb.com/title/tt3691740/,Film,6.3,117,2016,"Avventura, Per famiglie, Fantastico",100848,2016-12-30,"Steven Spielberg",,
1634,tt0096866,2026-09-06,2026-09-06,,"Il mio amico gigante","The BFG",https://www.imdb.com/title/tt0096866/,Film,6.7,91,1989,"Animazione, Avventura, Drammatico, Per famiglie, Fantastico",8055,1992-12-17,"Brian Cosgrove",,
1635,tt0032910,2026-09-06,2026-09-06,,"Pinocchio","Pinocchio",https://www.imdb.com/title/tt0032910/,Film,7.4,88,1940,"Animazione, Avventura, Commedia, Per famiglie, Fantastico, Musical",174544,1947-12-18,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen",,
1636,tt2347497,2026-09-06,2026-09-06,,"Silent Night","Silent Night",https://www.imdb.com/title/tt2347497/,Film,5.3,94,2012,"Commedia, Horror, Giallo, Thriller",10771,2012-12-04,"Steven C. Miller",,
1637,tt3882082,2026-09-06,2026-09-06,,"The Boy","The Boy",https://www.imdb.com/title/tt3882082/,Film,6.0,97,2016,"Horror, Giallo, Thriller",109074,2016-05-12,"William Brent Bell",,
